day,bw,cow
20220221,712,4492
20220221,632,4491
20220221,582,4500
20220221,562,4509
20220221,678,4498
20220221,538,4511
20220221,636,4499
20220221,620,4505
20220221,746,4487
20220221,586,4489
20220321,814,4492
20220321,748,4491
20220321,698,4500
20220321,678,4509
20220321,828,4498
20220321,626,4511
20220321,724,4499
20220321,708,4505
20220321,888,4487
20220321,690,4489
20220321,704,4501
20220418,948,4492
20220418,866,4491
20220418,828,4500
20220418,776,4509
20220418,954,4498
20220418,736,4511
20220418,854,4499
20220418,812,4505
20220418,1028,4487
20220418,820,4489
20220418,832,4501
20220516,1050,4492
20220516,1016,4491
20220516,910,4500
20220516,898,4509
20220516,1088,4498
20220516,826,4511
20220516,978,4499
20220516,898,4505
20220516,1138,4487
20220516,902,4489
20220516,920,4501
20220613,1200,4492
20220613,1130,4491
20220613,1082,4500
20220613,1018,4509
20220613,1220,4498
20220613,926,4511
20220613,1130,4499
20220613,1002,4505
20220613,1204,4487
20220613,1036,4489
20220613,1056,4501
20220726,1314,4492
20220726,1238,4491
20220726,1170,4500
20220726,1082,4509
20220726,1312,4498
20220711,994,4511
20220726,1184,4499
20220726,1076,4505
20220726,1334,4487
20220726,1092,4489
20220726,1164,4501
20220808,1406,4492
20220808,1334,4491
20220808,1260,4500
20220808,1162,4509
20220808,1444,4498
20220808,1078,4511
20220808,1288,4499
20220808,1148,4505
20220808,1466,4487
20220808,1194,4489
20220808,1278,4501
20220815,1458,4492
20220815,1390,4491
20220815,1326,4500
20220815,1220,4509
20220815,1514,4498
20220815,1140,4511
20220815,1342,4499
20220815,1190,4505
20220815,1456,4487
20220815,1184,4489
20220815,1306,4501
20220822,1458,4492
20220822,1396,4491
20220822,1338,4500
20220822,1230,4509
20220822,1468,4498
20220822,1078,4511
20220822,1322,4499
20220822,1172,4505
20220822,1472,4487
20220822,1190,4489
20220822,1306,4501
20220829,1520,4492
20220829,1472,4491
20220829,1400,4500
20220829,1298,4509
20220829,1558,4498
20220829,1138,4511
20220829,1356,4499
20220829,1220,4505
20220829,1576,4487
20220829,1242,4489
20220829,1370,4501
20220906,1508,4492
20220906,1450,4491
20220906,1398,4500
20220906,1282,4509
20220906,1534,4498
20220906,1180,4511
20220906,1374,4499
20220906,1246,4505
20220906,1544,4487
20220906,1264,4489
20220906,1380,4501
20220404,774,4510
20220404,728,4514
20220404,704,4525
20220404,596,4533
20220404,624,4545
20220404,558,4544
20220404,822,4503
20220404,844,4507
20220404,686,4518
20220404,646,4532
20220404,716,4535
20220404,646,4550
20220502,916,4510
20220502,844,4514
20220502,826,4525
20220502,716,4533
20220502,728,4545
20220502,662,4544
20220502,940,4503
20220502,966,4507
20220502,792,4518
20220502,746,4532
20220502,834,4535
20220502,730,4550
20220530,1056,4510
20220530,966,4514
20220530,960,4525
20220530,832,4533
20220530,834,4545
20220530,788,4544
20220530,1080,4503
20220530,1042,4507
20220530,926,4518
20220530,880,4532
20220530,956,4535
20220530,848,4550
20220627,1176,4510
20220627,1094,4514
20220627,1082,4525
20220627,952,4533
20220627,906,4545
20220627,892,4544
